sample,largo_sepalo (cm),ancho_sepalo (cm),petal length (cm),petal width (cm),species,numero,signo,l_+_a_sepalo,n_x_la_sepalo,ratio_sepalo,ratio_petalo
Plant_treatment_50,5.9,3.0,5.1,1.8,virginica,0.4897245886261986,negativo,8.9,4.358548838773168,0.5084745762711864,50.847457627118644
Plant_treatment_62,5.1,3.3,1.7,0.5,setosa,0.48614455628126463,negativo,8.399999999999999,4.083614272762622,0.6470588235294118,64.70588235294117
Plant_treatment_45,6.7,3.3,5.7,2.5,virginica,0.4619126055805687,negativo,10.0,4.619126055805687,0.4925373134328358,49.25373134328358
Plant_treatment_59,5.1,3.8,1.5,0.3,setosa,0.4537167580814072,negativo,8.899999999999999,4.038079146924524,0.7450980392156863,74.50980392156863
Plant_treatment_31,7.4,2.8,6.1,1.9,virginica,0.4177447090772407,negativo,10.2,4.260996032587855,0.37837837837837834,37.83783783783783
Plant_treatment_7,4.9,2.5,4.5,1.7,virginica,0.40529528692526107,negativo,7.4,2.999185123246932,0.5102040816326531,51.02040816326531
Plant_treatment_10,7.2,3.6,6.1,2.5,virginica,0.40374013572834133,negativo,10.8,4.360393465866086,0.5,50.0
Plant_treatment_25,6.7,3.3,5.7,2.1,virginica,0.370478325168082,negativo,10.0,3.70478325168082,0.4925373134328358,49.25373134328358
Plant_treatment_70,5.1,3.8,1.9,0.4,setosa,0.3701878492316806,negativo,8.899999999999999,3.2946718581619567,0.7450980392156863,74.50980392156863
Plant_treatment_6,7.6,3.0,6.6,2.1,virginica,0.3652861747191858,negativo,10.6,3.872033452023369,0.39473684210526316,39.473684210526315
Plant_treatment_44,6.8,3.2,5.9,2.3,virginica,0.363617868746417,negativo,10.0,3.63617868746417,0.4705882352941177,47.05882352941177
Plant_treatment_27,6.2,2.8,4.8,1.8,virginica,0.34765672618518917,negativo,9.0,3.1289105356667024,0.4516129032258064,45.16129032258064
Plant_treatment_29,6.4,2.8,5.6,2.1,virginica,0.3364244627061539,negativo,9.2,3.0951050568966156,0.43749999999999994,43.74999999999999
Plant_treatment_47,6.3,2.5,5.0,1.9,virginica,0.30583044711733176,negativo,8.8,2.6913079346325195,0.39682539682539686,39.682539682539684
Plant_treatment_14,5.7,2.5,5.0,2.0,virginica,0.2905988282239742,negativo,8.2,2.3829103914365883,0.43859649122807015,43.859649122807014
Plant_treatment_51,5.1,3.5,1.4,0.2,setosa,0.28499747338212567,negativo,8.6,2.4509782710862806,0.6862745098039216,68.62745098039215
Plant_treatment_3,7.1,3.0,5.9,2.1,virginica,0.27991893392094636,negativo,10.1,2.827181232601558,0.4225352112676057,42.25352112676057
Plant_treatment_34,6.3,2.8,5.1,1.5,virginica,0.2595773054295869,negativo,9.1,2.362153479409241,0.4444444444444444,44.44444444444444
Plant_treatment_24,6.3,2.7,4.9,1.8,virginica,0.24519726884276427,negativo,9.0,2.2067754195848783,0.4285714285714286,42.85714285714286
Plant_treatment_63,5.2,3.5,1.5,0.2,setosa,0.22558338425259683,negativo,8.7,1.9625754429975923,0.673076923076923,67.3076923076923
Plant_treatment_23,7.7,2.8,6.7,2.0,virginica,0.22227372924591215,negativo,10.5,2.333874157082078,0.3636363636363636,36.36363636363636
Plant_treatment_58,5.7,3.8,1.7,0.3,setosa,0.2216988507186506,negativo,9.5,2.1061390818271803,0.6666666666666666,66.66666666666666
Plant_treatment_32,7.9,3.8,6.4,2.0,virginica,0.20735834241091033,negativo,11.7,2.426092606207651,0.48101265822784806,48.101265822784804
sample_1,6.3,3.3,6.0,2.5,virginica,0.1900336398009067,negativo,9.6,1.8243229420887044,0.5238095238095238,52.38095238095239
Plant_treatment_9,6.7,2.5,5.8,1.8,virginica,0.18899991313113496,negativo,9.2,1.7387992008064415,0.3731343283582089,37.31343283582089
Plant_treatment_55,5.7,4.4,1.5,0.4,setosa,0.18144806979999406,negativo,10.100000000000001,1.8326255049799403,0.7719298245614036,77.19298245614036
Plant_treatment_57,5.1,3.5,1.4,0.3,setosa,0.17268945496361865,negativo,8.6,1.4851293126871203,0.6862745098039216,68.62745098039215
Plant_treatment_20,6.0,2.2,5.0,1.5,virginica,0.15865244627521535,negativo,8.2,1.3009500594567658,0.3666666666666667,36.66666666666667
Plant_treatment_12,6.4,2.7,5.3,1.9,virginica,0.1567471123920856,negativo,9.100000000000001,1.4263987227679793,0.421875,42.1875
Plant_treatment_71,5.1,3.8,1.6,0.2,setosa,0.14942972599123028,negativo,8.899999999999999,1.3299245613219493,0.7450980392156863,74.50980392156863
Plant_treatment_21,6.9,3.2,5.7,2.3,virginica,0.1246562582247529,negativo,10.100000000000001,1.2590282080700046,0.463768115942029,46.3768115942029
Plant_treatment_40,6.9,3.1,5.4,2.1,virginica,0.1220556617760864,negativo,10.0,1.220556617760864,0.4492753623188406,44.927536231884055
Plant_treatment_48,6.5,3.0,5.2,2.0,virginica,0.09986758119058892,negativo,9.5,0.9487420213105947,0.46153846153846156,46.15384615384615
Plant_treatment_11,6.5,3.2,5.1,2.0,virginica,0.0724229753014013,negativo,9.7,0.7025028604235924,0.49230769230769234,49.23076923076923
Plant_treatment_49,6.2,3.4,5.4,2.3,virginica,0.03604276295941644,negativo,9.6,0.3460105244103978,0.5483870967741935,54.83870967741935
Plant_treatment_2,5.8,2.7,5.1,1.9,virginica,0.010979764141768267,negativo,8.5,0.09332799520503027,0.4655172413793104,46.55172413793104
